Wavelength	od	Transmission
572.5	6.48213	3.30E-05
572	6.745	1.80E-05
571.5	7.46702	3.41E-06
571	7.48531	3.27E-06
570.5	7.48646	3.26E-06
570	7.46218	3.45E-06
569.5	7.3014	5.00E-06
569	6.67796	2.10E-05
568.5	7.17172	6.73E-06
568	7.27638	5.29E-06
567.5	7.38105	4.16E-06
567	7.09663	8.01E-06
566.5	7.12591	7.48E-06
566	7.15519	7.00E-06
565.5	6.65582	2.21E-05
565	6.85185	1.41E-05
564.5	6.66659	2.15E-05
564	6.48133	3.30E-05
563.5	7.39795	4.00E-06
563	6.06012	8.71E-05
562.5	6.21942	6.03E-05
562	6.25689	5.53E-05
561.5	6.2604	5.49E-05
561	6.16826	6.79E-05
560.5	6.14821	7.11E-05
560	6.25853	5.51E-05
559.5	6.29268	5.10E-05
559	6.25956	5.50E-05
558.5	6.60289	2.50E-05
558	6.2372	5.79E-05
557.5	6.53644	2.91E-05
557	6.58387	2.61E-05
556.5	6.58542	2.60E-05
556	6.95853	1.10E-05
555.5	6.39886	3.99E-05
555	6.1553	6.99E-05
554.5	6.34548	4.51E-05
554	6.56765	2.71E-05
553.5	6.55261	2.80E-05
553	6.17434	6.69E-05
552.5	6.18627	6.51E-05
552	6.25883	5.51E-05
551.5	6.47841	3.32E-05
551	6.52048	3.02E-05
550.5	6.72076	1.90E-05
550	6.92105	1.20E-05
549.5	6.95996	1.10E-05
549	6.99887	1.00E-05
548.5	7.10887	7.78E-06
548	7.21887	6.04E-06
547.5	7.08862	8.15E-06
547	6.95837	1.10E-05
546.5	7.24057	5.75E-06
546	7.4683	3.40E-06
545.5	7.27186	5.35E-06
545	7.07541	8.41E-06
544.5	6.4548	3.51E-05
544	6.61953	2.40E-05
543.5	6.53709	2.90E-05
543	6.79533	1.60E-05
542.5	6.30574	4.95E-05
542	6.27237	5.34E-05
541.5	7.04487	9.02E-06
541	7.42706	3.74E-06
540.5	7.44626	3.58E-06
540	7.09607	8.02E-06
539.5	6.7299	1.86E-05
539	6.36373	4.33E-05
538.5	6.65608	2.21E-05
538	6.72048	1.90E-05
537.5	6.40747	3.91E-05
537	6.09527	8.03E-05
536.5	6.17615	6.67E-05
536	6.31576	4.83E-05
535.5	6.34529	4.52E-05
535	6.28293	5.21E-05
534.5	6.19929	6.32E-05
534	6.15982	6.92E-05
533.5	6.32333	4.75E-05
533	6.91757	1.21E-05
532.5	6.35475	4.42E-05
532	6.47982	3.31E-05
531.5	6.40735	3.91E-05
531	6.28223	5.22E-05
530.5	6.59694	2.53E-05
530	7.42174	3.79E-06
529.5	7.39578	4.02E-06
529	6.49309	3.21E-05
528.5	6.6002	2.51E-05
528	6.61734	2.41E-05
527.5	6.62538	2.37E-05
527	6.63341	2.33E-05
526.5	6.53527	2.92E-05
526	7.02795	9.38E-06
525.5	7.46072	3.46E-06
525	7.33691	4.60E-06
524.5	7.2131	6.12E-06
524	6.53272	2.93E-05
523.5	7.43516	3.67E-06
523	7.47079	3.38E-06
522.5	6.67522	2.11E-05
522	7.08694	8.19E-06
521.5	7.49865	3.17E-06
521	7.49348	3.21E-06
520.5	6.65453	2.22E-05
520	6.58715	2.59E-05
519.5	6.51978	3.02E-05
519	7.01847	9.58E-06
518.5	6.77529	1.68E-05
518	6.5321	2.94E-05
517.5	6.58129	2.62E-05
517	6.95456	1.11E-05
516.5	7.48976	3.24E-06
516	7.49786	3.18E-06
515.5	7.49759	3.18E-06
515	7.49732	3.18E-06
514.5	7.48869	3.25E-06
514	6.95294	1.11E-05
513.5	6.88024	1.32E-05
513	7.43622	3.66E-06
512.5	7.47248	3.37E-06
512	7.47398	3.36E-06
511.5	7.25076	5.61E-06
511	6.40433	3.94E-05
510.5	6.50115	3.15E-05
510	6.59798	2.52E-05
509.5	6.41254	3.87E-05
509	6.7269	1.88E-05
508.5	7.04125	9.09E-06
508	6.3225	4.76E-05
507.5	7.27679	5.29E-06
507	7.41463	3.85E-06
506.5	7.49155	3.22E-06
506	7.45355	3.52E-06
505.5	6.88112	1.31E-05
505	6.46432	3.43E-05
504.5	7.40919	3.90E-06
504	7.32535	4.73E-06
503.5	7.2415	5.73E-06
503	6.95191	1.12E-05
502.5	6.78316	1.65E-05
502	6.61441	2.43E-05
501.5	6.5182	3.03E-05
501	7.1047	7.86E-06
500.5	6.99215	1.02E-05
500	6.87959	1.32E-05
499.5	6.84977	1.41E-05
499	6.81995	1.51E-05
498.5	7.2848	5.19E-06
498	7.38583	4.11E-06
497.5	7.08935	8.14E-06
497	6.84804	1.42E-05
496.5	6.61446	2.43E-05
496	6.79084	1.62E-05
495.5	7.25895	5.51E-06
495	7.34825	4.48E-06
494.5	7.43755	3.65E-06
494	7.14802	7.11E-06
493.5	6.57962	2.63E-05
493	6.84937	1.41E-05
492.5	7.24889	5.64E-06
492	7.25648	5.54E-06
491.5	7.26408	5.44E-06
491	6.87974	1.32E-05
490.5	6.56337	2.73E-05
490	6.79117	1.62E-05
489.5	6.27943	5.25E-05
489	6.18175	6.58E-05
488.5	6.20721	6.21E-05
488	6.00709	9.84E-05
487.5	6.12584	7.48E-05
487	6.37019	4.26E-05
486.5	6.37199	4.25E-05
486	6.2622	5.47E-05
485.5	6.56038	2.75E-05
485	6.00236	9.95E-05
484.5	5.81308	1.54E-04
484	5.92299	1.19E-04
483.5	6.01324	9.70E-05
483	6.03039	9.32E-05
482.5	6.3109	4.89E-05
482	6.32039	4.78E-05
481.5	5.98204	1.04E-04
481	6.07038	8.50E-05
480.5	6.2958	5.06E-05
480	6.15391	7.02E-05
479.5	6.22037	6.02E-05
479	6.41219	3.87E-05
478.5	6.34075	4.56E-05
478	6.2532	5.58E-05
477.5	6.18129	6.59E-05
477	6.12987	7.42E-05
476.5	6.10481	7.86E-05
476	6.15301	7.03E-05
475.5	5.97654	1.06E-04
475	6.14814	7.11E-05
474.5	6.06411	8.63E-05
474	5.8047	1.57E-04
473.5	5.80003	1.58E-04
473	5.87712	1.33E-04
472.5	5.8891	1.29E-04
472	5.81709	1.52E-04
471.5	5.76195	1.73E-04
471	5.67228	2.13E-04
470.5	5.61937	2.40E-04
470	5.50152	3.15E-04
469.5	5.42179	3.79E-04
469	5.43171	3.70E-04
468.5	5.37913	4.18E-04
468	5.2868	5.17E-04
467.5	5.20409	6.25E-04
467	5.07872	8.34E-04
466.5	4.99803	0.001
466	4.90465	0.00125
465.5	4.79893	0.00159
465	4.69155	0.00203
464.5	4.56877	0.0027
464	4.44151	0.00362
463.5	4.31266	0.00487
463	4.17537	0.00668
462.5	4.02717	0.00939
462	3.87608	0.0133
461.5	3.71234	0.01939
461	3.53991	0.02885
460.5	3.35847	0.04381
460	3.15898	0.06935
459.5	2.94396	0.11377
459	2.71708	0.19183
458.5	2.47347	0.33615
458	2.21513	0.60935
457.5	1.93896	1.1509
457	1.64805	2.2488
456.5	1.34373	4.53176
456	1.03094	9.31239
455.5	0.73236	18.52009
455	0.47722	33.32568
454.5	0.28037	52.43545
454	0.14672	71.33078
453.5	0.07033	85.04955
453	0.03185	92.92916
452.5	0.01443	96.73152
