Wavelength	od	Transmission	
1865	-1.921494811	83.46315765	
1864	-1.921027422	83.37338257	
1863	-1.921840333	83.52958679	
1862	-1.922085805	83.57681274	
1861	-1.922167268	83.59249115	
1860	-1.922542632	83.66477203	
1859	-1.923615704	83.87174988	
1858	-1.923762245	83.90005493	
1857	-1.924373708	84.01826477	
1856	-1.924939059	84.12770844	
1855	-1.924531584	84.04881287	
1854	-1.925029557	84.14524078	
1853	-1.925369879	84.21120453	
1852	-1.925975862	84.32878876	
1851	-1.926472145	84.42520905	
1850	-1.92639545	84.41030121	
1849	-1.927252412	84.57702637	
1848	-1.927023719	84.53250122	
1847	-1.927415941	84.60887909	
1846	-1.928141036	84.7502594	
1845	-1.928426266	84.80593872	
1844	-1.928761673	84.87145996	
1843	-1.928509243	84.82214355	
1842	-1.929246049	84.96617126	
1841	-1.929214967	84.96009064	
1840	-1.930409361	85.19406891	
1839	-1.930398588	85.19195557	
1838	-1.930913076	85.29293823	
1837	-1.93200227	85.50711823	
1836	-1.9315409	85.41632843	
1835	-1.93229973	85.56570435	
1834	-1.932505342	85.60622406	
1833	-1.932629413	85.6306839	
1832	-1.933155914	85.73455811	
1831	-1.93319425	85.74212646	
1830	-1.934226397	85.9461441	
1829	-1.934000423	85.90143585	
1828	-1.934713885	86.0426712	
1827	-1.934631468	86.0263443	
1826	-1.935055478	86.11037445	
1825	-1.935591461	86.21671295	
1824	-1.936085596	86.31486511	
1823	-1.93659512	86.4161911	
1822	-1.936165243	86.33069611	
1821	-1.93696512	86.48984528	
1820	-1.937284851	86.55354309	
1819	-1.937828567	86.66197205	
1818	-1.938002725	86.69673157	
1817	-1.937896006	86.6754303	
1816	-1.938779544	86.85194397	
1815	-1.938658935	86.82782745	
1814	-1.938866288	86.86929321	
1813	-1.939415687	86.97925568	
1812	-1.939469396	86.99001312	
1811	-1.939779943	87.05223846	
1810	-1.940433475	87.18333435	
1809	-1.94049918	87.19652557	
1808	-1.940819358	87.26083374	
1807	-1.941216963	87.34075928	
1806	-1.941610187	87.4198761	
1805	-1.941668855	87.4316864	
1804	-1.941432351	87.38408661	
1803	-1.94188383	87.47497559	
1802	-1.942433248	87.58570862	
1801	-1.942426628	87.58437347	
1800	-1.943229718	87.74648285	
1799	-1.94306127	87.71245575	
1798	-1.943402705	87.78144073	
1797	-1.943719467	87.8454895	
1796	-1.943500343	87.80117798	
1795	-1.94379354	87.86047363	
1794	-1.944182743	87.93924713	
1793	-1.943836794	87.86922455	
1792	-1.944165788	87.9358139	
1791	-1.944379719	87.97914124	
1790	-1.944667054	88.03736877	
1789	-1.944697124	88.04346466	
1788	-1.944401599	87.98357391	
1787	-1.944737391	88.05162811	
1786	-1.944820922	88.06856537	
1785	-1.944720607	88.0482254	
1784	-1.944941148	88.09294891	
1783	-1.944771896	88.05862427	
1782	-1.944844887	88.07342529	
1781	-1.945043931	88.11380005	
1780	-1.945226947	88.15093994	
1779	-1.945121764	88.1295929	
1778	-1.944465201	87.99645996	
1777	-1.94453557	88.0107193	
1776	-1.944140428	87.93067932	
1775	-1.943936445	87.88938904	
1774	-1.943689291	87.83938599	
1773	-1.943984359	87.899086	
1772	-1.944114201	87.92536926	
1771	-1.944043047	87.91096497	
1770	-1.943594488	87.82021332	
